#Accession	Name	No_orfs	Coverage	Abundance	Description
KOG1277	KOG1277	2	1.956155	0.000365	Endosomal membrane proteins, EMP70
KOG1278	KOG1278	2	1.950636	0.000364	Endosomal membrane proteins, EMP70
KOG1279	KOG1279	2	0.132411	2.4e-05	Chromatin remodeling factor subunit and related transcription factors
KOG1280	KOG1280	2	0.627296	0.000117	Uncharacterized conserved protein containing ZZ-type Zn-finger
KOG1281	KOG1281	5	3.537542	0.000661	Na+/dicarboxylate, Na+/tricarboxylate and phosphate transporters
KOG1282	KOG1282	6	5.46696	0.001022	Serine carboxypeptidases (lysosomal cathepsin A)
KOG1284	KOG1284	3	1.787114	0.000334	Bifunctional GTP cyclohydrolase II/3,4-dihydroxy-2butanone-4-phosphate synthase
KOG1285	KOG1285	2	1.871134	0.00035	Beta, beta-carotene 15,15'-dioxygenase and related enzymes
KOG1286	KOG1286	1	0.889891	0.000166	Amino acid transporters
KOG1287	KOG1287	3	2.762004	0.000516	Amino acid transporters
KOG1288	KOG1288	2	1.648677	0.000308	Amino acid transporters
KOG1290	KOG1290	1	0.866101	0.000162	Serine/threonine protein kinase
KOG1291	KOG1291	1	0.89662	0.000167	Mn2+ and Fe2+ transporters of the NRAMP family
KOG1294	KOG1294	3	2.486567	0.000465	Apurinic/apyrimidinic endonuclease and related enzymes
KOG1296	KOG1296	1	0.975155	0.000182	Uncharacterized conserved protein
KOG1298	KOG1298	1	0.143418	2.6e-05	Squalene monooxygenase
KOG1299	KOG1299	1	0.994535	0.000186	Vacuolar sorting protein VPS45/Stt10 (Sec1 family)
KOG1300	KOG1300	1	0.99494	0.000186	Vesicle trafficking protein Sec1
KOG1301	KOG1301	1	0.969404	0.000181	Vesicle trafficking protein Sly1 (Sec1 family)
KOG1302	KOG1302	1	0.991666	0.000185	Vacuolar sorting protein VPS33/slp1 (Sec1 family)
KOG1303	KOG1303	12	11.192219	0.002093	Amino acid transporters
KOG1304	KOG1304	4	2.45657	0.000459	Amino acid transporters
KOG1305	KOG1305	10	8.036496	0.001503	Amino acid transporter protein
KOG1306	KOG1306	1	0.956375	0.000178	Ca2+/Na+ exchanger NCX1 and related proteins
KOG1307	KOG1307	12	8.540816	0.001597	K+-dependent Ca2+/Na+ exchanger NCKX1 and related proteins
KOG1309	KOG1309	1	1	0.000187	Suppressor of G2 allele of skp1
KOG1311	KOG1311	9	4.362549	0.000816	DHHC-type Zn-finger proteins
KOG1312	KOG1312	1	0.730205	0.000136	DHHC-type Zn-finger proteins
KOG1315	KOG1315	7	3.254071	0.000608	Predicted DHHC-type Zn-finger protein
KOG1316	KOG1316	1	0.978448	0.000183	Argininosuccinate lyase
KOG1317	KOG1317	1	0.946611	0.000177	Fumarase
KOG1320	KOG1320	1	0.716701	0.000134	Serine protease
KOG1321	KOG1321	1	0.972151	0.000181	Protoheme ferro-lyase (ferrochelatase)
KOG1322	KOG1322	1	0.495956	9.2e-05	GDP-mannose pyrophosphorylase/mannose-1-phosphate guanylyltransferase
KOG1325	KOG1325	1	0.185639	3.4e-05	Lysophospholipase
KOG1326	KOG1326	5	0.732126	0.000136	Membrane-associated protein FER-1 and related ferlins, contain multiple C2 domains
KOG1327	KOG1327	4	3.964083	0.000741	Copine
KOG1329	KOG1329	2	1.499436	0.00028	Phospholipase D1
KOG1330	KOG1330	5	3.829614	0.000716	Sugar transporter/spinster transmembrane protein
KOG1331	KOG1331	1	0.952218	0.000178	Predicted methyltransferase
KOG1332	KOG1332	1	0.996655	0.000186	Vesicle coat complex COPII, subunit SEC13
KOG1333	KOG1333	1	0.867219	0.000162	Uncharacterized conserved protein
KOG1335	KOG1335	2	1.89328	0.000354	Dihydrolipoamide dehydrogenase
KOG1336	KOG1336	11	6.248953	0.001168	Monodehydroascorbate/ferredoxin reductase
KOG1337	KOG1337	13	6.059322	0.001133	N-methyltransferase
KOG1338	KOG1338	1	0.523605	9.7e-05	Uncharacterized conserved protein
KOG1339	KOG1339	5	4.557788	0.000852	Aspartyl protease
KOG1342	KOG1342	5	4.45647	0.000833	Histone deacetylase complex, catalytic component RPD3
KOG1343	KOG1343	7	2.248431	0.00042	Histone deacetylase complex, catalytic component HDA1
KOG1345	KOG1345	1	0.203703	3.8e-05	Serine/threonine kinase
KOG1346	KOG1346	1	0.802731	0.00015	Programmed cell death 8 (apoptosis-inducing factor)
KOG1347	KOG1347	6	4.866807	0.00091	Uncharacterized membrane protein, predicted efflux pump
KOG1348	KOG1348	1	0.87631	0.000163	Asparaginyl peptidases
KOG1349	KOG1349	1	0.89644	0.000167	Gpi-anchor transamidase
KOG1350	KOG1350	2	0.890595	0.000166	F0F1-type ATP synthase, beta subunit
KOG1351	KOG1351	1	0.773006	0.000144	Vacuolar H+-ATPase V1 sector, subunit B
KOG1352	KOG1352	1	0.972491	0.000181	Vacuolar H+-ATPase V1 sector, subunit A
KOG1353	KOG1353	2	1.679411	0.000314	F0F1-type ATP synthase, alpha subunit
KOG1354	KOG1354	2	1.939953	0.000362	Serine/threonine protein phosphatase 2A, regulatory subunit
KOG1355	KOG1355	1	0.931868	0.000174	Adenylosuccinate synthase
KOG1357	KOG1357	2	1.878612	0.000351	Serine palmitoyltransferase
KOG1358	KOG1358	1	0.989293	0.000185	Serine palmitoyltransferase
KOG1359	KOG1359	2	1.815347	0.000339	Glycine C-acetyltransferase/2-amino-3-ketobutyrate-CoA ligase
KOG1360	KOG1360	1	0.770175	0.000144	5-aminolevulinate synthase
KOG1361	KOG1361	3	1.557172	0.000291	Predicted hydrolase involved in interstrand cross-link repair
KOG1362	KOG1362	5	3.979202	0.000744	Choline transporter-like protein
KOG1363	KOG1363	2	1.2	0.000224	Predicted regulator of the ubiquitin pathway (contains UAS and UBX domains)
KOG1364	KOG1364	1	0.75	0.00014	Predicted ubiquitin regulatory protein, contains UAS and UBX domains
KOG1366	KOG1366	1	0.314066	5.8e-05	Alpha-macroglobulin
KOG1367	KOG1367	3	2.225961	0.000416	3-phosphoglycerate kinase
KOG1368	KOG1368	2	1.307291	0.000244	Threonine aldolase
KOG1369	KOG1369	1	0.930379	0.000174	Hexokinase
KOG1370	KOG1370	1	0.993087	0.000185	S-adenosylhomocysteine hydrolase
KOG1371	KOG1371	2	1.953352	0.000365	UDP-glucose 4-epimerase/UDP-sulfoquinovose synthase
KOG1373	KOG1373	1	0.987394	0.000184	Transport protein Sec61, alpha subunit
KOG1374	KOG1374	3	2.94866	0.000551	Gamma tubulin
KOG1375	KOG1375	4	3.848238	0.000719	Beta tubulin
KOG1376	KOG1376	2	2	0.000374	Alpha tubulin
KOG1377	KOG1377	1	0.908045	0.000169	Uridine 5'- monophosphate synthase/orotate phosphoribosyltransferase
KOG1378	KOG1378	8	4.9823	0.000932	Purple acid phosphatase
KOG1379	KOG1379	3	2.357575	0.000441	Serine/threonine protein phosphatase
KOG1380	KOG1380	1	0.691931	0.000129	Heme A farnesyltransferase
KOG1381	KOG1381	1	0.810198	0.000151	Para-hydroxybenzoate-polyprenyl transferase
KOG1382	KOG1382	1	0.751605	0.00014	Multiple inositol polyphosphate phosphatase
KOG1383	KOG1383	2	1.806517	0.000337	Glutamate decarboxylase/sphingosine phosphate lyase
KOG1384	KOG1384	1	0.991379	0.000185	tRNA delta(2)-isopentenylpyrophosphate transferase
KOG1387	KOG1387	2	1.258064	0.000235	Glycosyltransferase
KOG1389	KOG1389	1	0.974712	0.000182	3-oxoacyl CoA thiolase
KOG1390	KOG1390	4	3.964646	0.000741	Acetyl-CoA acetyltransferase
KOG1391	KOG1391	1	0.962121	0.000179	Acetyl-CoA acetyltransferase
KOG1392	KOG1392	1	0.905376	0.000169	Acetyl-CoA acetyltransferase
KOG1393	KOG1393	1	0.876623	0.000163	Hydroxymethylglutaryl-CoA synthase
KOG1394	KOG1394	4	2.927272	0.000547	3-oxoacyl-(acyl-carrier-protein) synthase (I and II)
KOG1395	KOG1395	1	0.853249	0.000159	Tryptophan synthase beta chain
KOG1396	KOG1396	1	0.337735	6.3e-05	Uncharacterized conserved protein
KOG1397	KOG1397	2	1.755102	0.000328	Ca2+/H+ antiporter VCX1 and related proteins
KOG1398	KOG1398	3	2.306521	0.000431	Uncharacterized conserved protein
KOG1399	KOG1399	10	5.857142	0.001095	Flavin-containing monooxygenase
KOG1400	KOG1400	1	0.218328	4e-05	Predicted ATP-dependent protease PIL, contains LON domain
KOG1401	KOG1401	3	2.228637	0.000416	Acetylornithine aminotransferase
KOG1402	KOG1402	1	0.983606	0.000183	Ornithine aminotransferase
KOG1403	KOG1403	1	0.960176	0.000179	Predicted alanine-glyoxylate aminotransferase
KOG1404	KOG1404	1	0.904977	0.000169	Alanine-glyoxylate aminotransferase AGT2
KOG1406	KOG1406	3	2.909313	0.000544	Peroxisomal 3-ketoacyl-CoA-thiolase P-44/SCP2
KOG1407	KOG1407	3	1.725239	0.000322	WD40 repeat protein
KOG1408	KOG1408	5	2.69537	0.000504	WD40 repeat protein
KOG1410	KOG1410	1	0.981515	0.000183	Nuclear transport receptor RanBP16 (importin beta superfamily)
KOG1411	KOG1411	2	1.901639	0.000355	Aspartate aminotransferase/Glutamic oxaloacetic transaminase AAT1/GOT2
KOG1413	KOG1413	3	1.627737	0.000304	N-acetylglucosaminyltransferase I
KOG1415	KOG1415	1	0.972972	0.000182	Ubiquitin C-terminal hydrolase UCHL1
KOG1416	KOG1416	1	0.783157	0.000146	tRNA(1-methyladenosine) methyltransferase, subunit GCD10
KOG1417	KOG1417	1	0.993273	0.000185	Homogentisate 1,2-dioxygenase
KOG1418	KOG1418	3	1.457274	0.000272	Tandem pore domain K+ channel
KOG1419	KOG1419	2	0.623853	0.000116	Voltage-gated K+ channel KCNQ
KOG1420	KOG1420	7	4.022665	0.000752	Ca2+-activated K+ channel Slowpoke, alpha subunit
KOG1421	KOG1421	2	1.885863	0.000352	Predicted signaling-associated protein (contains a PDZ domain)
KOG1424	KOG1424	2	1.571174	0.000293	Predicted GTP-binding protein MMR1
KOG1425	KOG1425	3	0.723255	0.000135	Microfibrillar-associated protein MFAP1
KOG1427	KOG1427	41	22.397291	0.004189	Uncharacterized conserved protein, contains RCC1 domain
KOG1428	KOG1428	9	0.30016	5.6e-05	Inhibitor of type V adenylyl cyclases/Neuronal presynaptic protein Highwire/PAM/RPM-1
KOG1429	KOG1429	4	3.208571	0.0006	dTDP-glucose 4-6-dehydratase/UDP-glucuronic acid decarboxylase
KOG1430	KOG1430	8	5.67867	0.001062	C-3 sterol dehydrogenase/3-beta-hydroxysteroid dehydrogenase and related dehydrogenases
KOG1432	KOG1432	1	0.812664	0.000152	Predicted DNA repair exonuclease SIA1
KOG1433	KOG1433	1	0.91166	0.00017	DNA repair protein RAD51/RHP55
KOG1434	KOG1434	1	0.970149	0.000181	Meiotic recombination protein Dmc1
KOG1435	KOG1435	2	1.806074	0.000337	Sterol reductase/lamin B receptor
KOG1436	KOG1436	1	0.967336	0.00018	Dihydroorotate dehydrogenase
KOG1437	KOG1437	1	0.401759	7.5e-05	Fasciclin and related adhesion glycoproteins
KOG1438	KOG1438	1	0.91689	0.000171	Anthranilate phosphoribosyltransferase
KOG1439	KOG1439	1	0.997727	0.000186	RAB proteins geranylgeranyltransferase component A (RAB escort protein)
KOG1440	KOG1440	1	0.833333	0.000155	CDP-diacylglycerol synthase
KOG1441	KOG1441	6	4.759493	0.00089	Glucose-6-phosphate/phosphate and phosphoenolpyruvate/phosphate antiporter
KOG1443	KOG1443	1	0.893982	0.000167	Predicted integral membrane protein
KOG1444	KOG1444	5	4.65605	0.00087	Nucleotide-sugar transporter VRG4/SQV-7
KOG1445	KOG1445	1	0.997035	0.000186	Tumor-specific antigen (contains WD repeats)
KOG1448	KOG1448	4	3.92405	0.000734	Ribose-phosphate pyrophosphokinase
KOG1454	KOG1454	7	5.193251	0.000971	Predicted hydrolase/acyltransferase (alpha/beta hydrolase superfamily)
KOG1455	KOG1455	4	3.722044	0.000696	Lysophospholipase
KOG1458	KOG1458	2	1.71137	0.00032	Fructose-1,6-bisphosphatase
KOG1459	KOG1459	1	0.905569	0.000169	Squalene synthetase
KOG1460	KOG1460	2	0.331695	6.2e-05	GDP-mannose pyrophosphorylase
KOG1461	KOG1461	3	1.304606	0.000244	Translation initiation factor 2B, epsilon subunit (eIF-2Bepsilon/GCD6)
KOG1462	KOG1462	1	0.923787	0.000172	Translation initiation factor 2B, gamma subunit (eIF-2Bgamma/GCD1)
KOG1463	KOG1463	1	0.970802	0.000181	26S proteasome regulatory complex, subunit RPN6/PSMD11
KOG1464	KOG1464	1	0.761363	0.000142	COP9 signalosome, subunit CSN2
KOG1465	KOG1465	1	0.951841	0.000178	Translation initiation factor 2B, beta subunit (eIF-2Bbeta/GCD7)
KOG1466	KOG1466	1	0.97444	0.000182	Translation initiation factor 2B, alpha subunit (eIF-2Balpha/GCN3)
KOG1467	KOG1467	2	1.185251	0.000221	Translation initiation factor 2B, delta subunit (eIF-2Bdelta/GCD2)
KOG1468	KOG1468	1	0.937853	0.000175	Predicted translation initiation factor related to eIF-2B alpha/beta/delta subunits (CIG2/IDI2)
KOG1469	KOG1469	4	3.808673	0.000712	Predicted acyl-CoA dehydrogenase
KOG1470	KOG1470	6	3.817901	0.000714	Phosphatidylinositol transfer protein PDR16 and related proteins
KOG1471	KOG1471	25	17.671924	0.003305	Phosphatidylinositol transfer protein SEC14 and related proteins
KOG1472	KOG1472	2	0.618055	0.000115	Histone acetyltransferase SAGA/ADA, catalytic subunit PCAF/GCN5 and related proteins
KOG1473	KOG1473	2	0.171145	3.2e-05	Nucleosome remodeling factor, subunit NURF301/BPTF
KOG1474	KOG1474	16	2.074999	0.000388	Transcription initiation factor TFIID, subunit BDF1 and related bromodomain proteins
KOG1475	KOG1475	1	0.97931	0.000183	Ribosomal protein RPL1/RPL2/RL4L4
KOG1477	KOG1477	1	0.411513	7.6e-05	SPRY domain-containing proteins
KOG1479	KOG1479	3	2.312807	0.000432	Nucleoside transporter
KOG1481	KOG1481	2	1.795396	0.000335	Cysteine synthase
KOG1482	KOG1482	6	3.139841	0.000587	Zn2+ transporter
KOG1484	KOG1484	5	2.556497	0.000478	Putative Zn2+ transporter MSC2 (cation diffusion facilitator superfamily)
KOG1485	KOG1485	2	1.415048	0.000264	Mitochondrial Fe2+ transporter MMT1 and related transporters (cation diffusion facilitator superfamily)
KOG1486	KOG1486	1	1	0.000187	GTP-binding protein DRG2 (ODN superfamily)
KOG1487	KOG1487	1	1	0.000187	GTP-binding protein DRG1 (ODN superfamily)
KOG1488	KOG1488	4	2.632206	0.000492	Translational repressor Pumilio/PUF3 and related RNA-binding proteins (Puf superfamily)
KOG1489	KOG1489	1	0.898907	0.000168	Predicted GTP-binding protein (ODN superfamily)
KOG1490	KOG1490	1	1	0.000187	GTP-binding protein CRFG/NOG1 (ODN superfamily)
KOG1491	KOG1491	3	2.675191	0.0005	Predicted GTP-binding protein (ODN superfamily)
KOG1493	KOG1493	2	1.488095	0.000278	Anaphase-promoting complex (APC), subunit 11
KOG1494	KOG1494	2	1.805797	0.000337	NAD-dependent malate dehydrogenase
KOG1497	KOG1497	1	0.862155	0.000161	COP9 signalosome, subunit CSN4
KOG1498	KOG1498	1	0.984054	0.000184	26S proteasome regulatory complex, subunit RPN5/PSMD12
KOG1499	KOG1499	4	2.286127	0.000427	Protein arginine N-methyltransferase PRMT1 and related enzymes
KOG1500	KOG1500	1	0.733075	0.000137	Protein arginine N-methyltransferase CARM1
KOG1501	KOG1501	1	0.437106	8.1e-05	Arginine N-methyltransferase
KOG1502	KOG1502	17	13.174311	0.002464	Flavonol reductase/cinnamoyl-CoA reductase
KOG1504	KOG1504	1	0.893063	0.000167	Ornithine carbamoyltransferase OTC/ARG3
KOG1505	KOG1505	2	1.615606	0.000302	Lysophosphatidic acid acyltransferase LPAAT and related acyltransferases
KOG1506	KOG1506	1	0.997389	0.000186	S-adenosylmethionine synthetase
KOG1507	KOG1507	1	0.73743	0.000137	Nucleosome assembly protein NAP-1
KOG1509	KOG1509	2	1.827751	0.000341	Predicted nucleic acid-binding protein ASMTL
KOG1511	KOG1511	1	0.909319	0.00017	Mevalonate kinase MVK/ERG12
KOG1513	KOG1513	1	0.804615	0.00015	Nuclear helicase MOP-3/SNO (DEAD-box superfamily)
KOG1514	KOG1514	1	0.378096	7e-05	Origin recognition complex, subunit 1, and related proteins
KOG1515	KOG1515	13	8.82738	0.001651	Arylacetamide deacetylase
KOG1516	KOG1516	1	0.842201	0.000157	Carboxylesterase and related proteins
KOG1517	KOG1517	1	0.756308	0.000141	Guanine nucleotide binding protein MIP1
KOG1518	KOG1518	1	0.942408	0.000176	Coproporphyrinogen III oxidase CPO/HEM13
KOG1520	KOG1520	1	0.925531	0.000173	Predicted alkaloid synthase/Surface mucin Hemomucin
KOG1521	KOG1521	1	0.849112	0.000158	RNA polymerase I and III, subunit RPA40/RPC40
KOG1522	KOG1522	1	0.926315	0.000173	RNA polymerase II, subunit POLR2C/RPB3
KOG1523	KOG1523	1	0.963988	0.00018	Actin-related protein Arp2/3 complex, subunit ARPC1/p41-ARC
KOG1524	KOG1524	1	0.947082	0.000177	WD40 repeat-containing protein CHE-2
KOG1525	KOG1525	1	0.257503	4.8e-05	Sister chromatid cohesion complex Cohesin, subunit PDS5
KOG1526	KOG1526	1	0.921671	0.000172	NADP-dependent isocitrate dehydrogenase
KOG1527	KOG1527	3	1.371541	0.000256	Uroporphyrin III methyltransferase
KOG1529	KOG1529	1	0.867132	0.000162	Mercaptopyruvate sulfurtransferase/thiosulfate sulfurtransferase
KOG1530	KOG1530	1	0.786764	0.000147	Rhodanese-related sulfurtransferase
KOG1531	KOG1531	1	0.924342	0.000172	F0F1-type ATP synthase, gamma subunit
KOG1532	KOG1532	1	0.775956	0.000145	GTPase XAB1, interacts with DNA repair protein XPA
KOG1533	KOG1533	1	0.982758	0.000183	Predicted GTPase
KOG1534	KOG1534	1	0.956043	0.000178	Putative transcription factor FET5
KOG1535	KOG1535	2	1.870967	0.000349	Predicted fumarylacetoacetate hydralase
KOG1536	KOG1536	1	0.412942	7.7e-05	Biotin holocarboxylase synthetase/biotin-protein ligase
KOG1537	KOG1537	1	0.89014	0.000166	Homoserine kinase
KOG1538	KOG1538	1	0.994219	0.000185	Uncharacterized conserved protein WDR10, contains WD40 repeats
KOG1539	KOG1539	3	1.475824	0.000276	WD repeat protein
KOG1540	KOG1540	2	1.27027	0.000237	Ubiquinone biosynthesis methyltransferase COQ5
KOG1541	KOG1541	2	1.685185	0.000315	Predicted protein carboxyl methylase
KOG1542	KOG1542	7	4.370967	0.000817	Cysteine proteinase Cathepsin F
KOG1543	KOG1543	7	4.590769	0.000858	Cysteine proteinase Cathepsin L
KOG1546	KOG1546	4	1.607734	0.0003	Metacaspase involved in regulation of apoptosis
KOG1548	KOG1548	3	1.727748	0.000323	Transcription elongation factor TAT-SF1
KOG1549	KOG1549	5	3.721962	0.000696	Cysteine desulfurase NFS1
KOG1550	KOG1550	6	3.322463	0.000621	Extracellular protein SEL-1 and related proteins
KOG1552	KOG1552	4	2.872093	0.000537	Predicted alpha/beta hydrolase
KOG1554	KOG1554	1	0.654178	0.000122	COP9 signalosome, subunit CSN5
KOG1555	KOG1555	2	1.161392	0.000217	26S proteasome regulatory complex, subunit RPN11
KOG1556	KOG1556	1	0.964401	0.00018	26S proteasome regulatory complex, subunit RPN8/PSMD7
KOG1557	KOG1557	1	0.983471	0.000183	Fructose-biphosphate aldolase
KOG1558	KOG1558	3	1.868501	0.000349	Fe2+/Zn2+ regulated transporter
KOG1559	KOG1559	1	0.855882	0.00016	Gamma-glutamyl hydrolase
KOG1560	KOG1560	1	0.973451	0.000182	Translation initiation factor 3, subunit h (eIF-3h)
KOG1561	KOG1561	1	0.156351	2.9e-05	CCAAT-binding factor, subunit B (HAP2)
KOG1562	KOG1562	3	2.133531	0.000399	Spermidine synthase
KOG1563	KOG1563	1	0.777777	0.000145	Mitochondrial protein Surfeit 1/SURF1/SHY1, required for expression of cytochrome oxidase
KOG1566	KOG1566	1	0.885964	0.000165	Conserved protein Mo25
KOG1567	KOG1567	3	2.491279	0.000466	Ribonucleotide reductase, beta subunit
KOG1568	KOG1568	1	0.781609	0.000146	Mitochondrial inner membrane protease, subunit IMP2
KOG1569	KOG1569	1	0.606811	0.000113	50S ribosomal protein L1
KOG1570	KOG1570	1	0.889908	0.000166	60S ribosomal protein L10A
KOG1571	KOG1571	3	0.777464	0.000145	Predicted E3 ubiquitin ligase
KOG1572	KOG1572	6	3.630522	0.000679	Predicted protein tyrosine phosphatase
KOG1573	KOG1573	1	0.872549	0.000163	Aldehyde reductase
KOG1575	KOG1575	9	6.693452	0.001252	Voltage-gated shaker-like K+ channel, subunit beta/KCNAB
KOG1576	KOG1576	1	0.991228	0.000185	Predicted oxidoreductase
KOG1577	KOG1577	5	4.516666	0.000844	Aldo/keto reductase family proteins
KOG1578	KOG1578	2	1.855072	0.000347	Predicted carbonic anhydrase involved in protection against oxidative damage
KOG1579	KOG1579	4	3.694006	0.000691	Homocysteine S-methyltransferase
KOG1580	KOG1580	1	0.946587	0.000177	UDP-galactose transporter related protein
KOG1581	KOG1581	1	0.944954	0.000176	UDP-galactose transporter related protein
KOG1582	KOG1582	2	1.095367	0.000204	UDP-galactose transporter related protein
KOG1583	KOG1583	2	1.693939	0.000316	UDP-N-acetylglucosamine transporter
KOG1584	KOG1584	7	4.804713	0.000898	Sulfotransferase
KOG1585	KOG1585	1	0.870129	0.000162	Protein required for fusion of vesicles in vesicular transport, gamma-SNAP
KOG1586	KOG1586	1	0.972222	0.000181	Protein required for fusion of vesicles in vesicular transport, alpha-SNAP
KOG1587	KOG1587	6	5.043243	0.000943	Cytoplasmic dynein intermediate chain
KOG1589	KOG1589	1	0.745762	0.000139	Uncharacterized conserved protein
KOG1590	KOG1590	1	0.598484	0.000111	Uncharacterized conserved protein
KOG1591	KOG1591	10	5.820069	0.001088	Prolyl 4-hydroxylase alpha subunit
KOG1594	KOG1594	1	0.855737	0.00016	Uncharacterized enzymes related to aldose 1-epimerase
KOG1595	KOG1595	1	0.22159	4.1e-05	CCCH-type Zn-finger protein
KOG1596	KOG1596	1	0.744479	0.000139	Fibrillarin and related nucleolar RNA-binding proteins
KOG1597	KOG1597	1	0.685064	0.000128	Transcription initiation factor TFIIB
